data_dir,N_way,K_shot,inner_lr,outer_lr,n_steps,meta_steps,task_mb_size,lam,cg_steps,cg_damping,use_gpu,num_tasks,save_dir,lam_lr,lam_min,scalar_lam,taylor_approx,inner_alg,load_agent,load_tasks,train_pre,test_pre,train_post,test_post,train_acc,val_acc
,,,,,,,,,,,,,,,,,,,,,1.8136716783046722,1.8637114465236664,0.5964895207434893,1.392347812652588,100.0,38.75
,,,,,,,,,,,,,,,,,,,,,1.6577455699443817,1.6710928231477737,0.6095926519483328,1.2581312358379364,100.0,50.0
,,,,,,,,,,,,,,,,,,,,,1.8383434414863586,1.8675962388515472,0.6448930464684963,1.4413905814290047,100.0,36.25
,,,,,,,,,,,,,,,,,,,,,1.8430768325924873,1.9288186728954315,0.7128901667892933,1.4618081226944923,97.5,38.75
,,,,,,,,,,,,,,,,,,,,,1.8818159326910973,1.9115181230008602,0.6397307589650154,1.3402370810508728,100.0,42.5
,,,,,,,,,,,,,,,,,,,,,1.8157481402158737,1.8139047920703888,0.6398980133235455,1.258742917329073,100.0,51.25
,,,,,,,,,,,,,,,,,,,,,1.9851448684930801,1.9766474068164825,0.691419281065464,1.3422714322805405,98.75,47.5
,,,,,,,,,,,,,,,,,,,,,1.9907368421554565,1.8841100260615349,0.6954064704477787,1.2774405218660831,100.0,48.75
,,,,,,,,,,,,,,,,,,,,,2.000398449599743,1.863345094025135,0.6494526900351048,1.2387009523808956,100.0,46.25
,,,,,,,,,,,,,,,,,,,,,2.052199214696884,1.9113376438617706,0.6587377414107323,1.2038414552807808,100.0,60.0
,,,,,,,,,,,,,,,,,,,,,1.8450507819652557,1.929085299372673,0.589825950562954,1.314990233629942,98.75,46.25
,,,,,,,,,,,,,,,,,,,,,2.0334580317139626,2.0740862861275673,0.6107469014823437,1.307345476001501,100.0,52.5
,,,,,,,,,,,,,,,,,,,,,2.0138256177306175,2.0561778619885445,0.6105811223387718,1.2827171348035336,98.75,45.0
,,,,,,,,,,,,,,,,,,,,,2.102880544960499,2.1701257154345512,0.5877796113491058,1.2481558620929718,100.0,48.75
,,,,,,,,,,,,,,,,,,,,,2.1387028470635414,2.0617465674877167,0.575104545801878,1.2633303068578243,100.0,57.5
,,,,,,,,,,,,,,,,,,,,,2.2230470925569534,2.276065655052662,0.5705527793616056,1.260639749467373,96.25,51.25
,,,,,,,,,,,,,,,,,,,,,2.4136583879590034,2.4331151619553566,0.5140953753143549,1.3242438584566116,98.75,43.75
,,,,,,,,,,,,,,,,,,,,,2.2378239184617996,2.2314250618219376,0.4619576018303633,1.1836987435817719,100.0,57.5
,,,,,,,,,,,,,,,,,,,,,2.266415849328041,2.333252027630806,0.4596167467534542,1.287440974265337,100.0,53.75
,,,,,,,,,,,,,,,,,,,,,2.480419009923935,2.4384999200701714,0.49524756893515587,1.3535959050059319,100.0,50.0
,,,,,,,,,,,,,,,,,,,,,2.2630746737122536,2.3486987501382828,0.48557691648602486,1.1936391107738018,100.0,57.5
,,,,,,,,,,,,,,,,,,,,,2.209486208856106,2.2512315809726715,0.4868598785251379,1.2385842837393284,100.0,53.75
,,,,,,,,,,,,,,,,,,,,,2.024719327688217,2.0857550501823425,0.5072206147015095,1.3435543924570084,100.0,43.75
,,,,,,,,,,,,,,,,,,,,,1.9011551141738892,1.853878691792488,0.47677843645215034,1.2546454556286335,100.0,50.0
,,,,,,,,,,,,,,,,,,,,,1.9067169278860092,1.9430410340428352,0.5473042894154787,1.232898309826851,100.0,52.5
,,,,,,,,,,,,,,,,,,,,,2.038010410964489,2.1034570410847664,0.6132974941283464,1.3355755768716335,96.25,46.25
,,,,,,,,,,,,,,,,,,,,,1.9519735351204872,1.971977673470974,0.5230598282068968,1.3702362887561321,100.0,46.25
,,,,,,,,,,,,,,,,,,,,,1.9938690438866615,2.044803835451603,0.5785369370132685,1.2643799856305122,100.0,51.25
,,,,,,,,,,,,,,,,,,,,,2.1247754395008087,2.229023315012455,0.5764898601919413,1.4011808894574642,100.0,45.0
,,,,,,,,,,,,,,,,,,,,,2.15863848477602,2.1398729607462883,0.6042325608432293,1.2547643072903156,96.25,56.25
,,,,,,,,,,,,,,,,,,,,,2.347344219684601,2.3248157277703285,0.580566531047225,1.263936173170805,100.0,48.75
